,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Goal_diff
93,2019-12-21,17:30 (12:30),Premier League,Matchweek 18,Sat,Home,W,3.0,1.0,Leicester City,3.3,1.1,62.0,Fernandinho,4-2-3-1,Mike Dean,22,11,50.0,0.09,0.18,15.7,1.0,1,1,season 3,2.0
94,2019-12-27,19:45 (14:45),Premier League,Matchweek 19,Fri,Away,L,2.0,3.0,Wolves,1.5,2.6,38.0,Fernandinho,4-2-3-1,Martin Atkinson,6,2,33.3,0.33,1.0,19.0,1.0,0,1,season 3,-1.0
95,2019-12-29,18:00 (13:00),Premier League,Matchweek 20,Sun,Home,W,2.0,0.0,Sheffield Utd,1.1,1.1,72.0,Fernandinho,4-3-3-0,Chris Kavanagh,16,4,25.0,0.13,0.5,23.1,2.0,0,0,season 3,2.0
96,2020-01-01,17:30 (12:30),Premier League,Matchweek 21,Wed,Home,W,2.0,1.0,Everton,1.5,1.0,65.0,Fernandinho,3-4-3-0,Andre Marriner,16,7,43.8,0.13,0.29,16.0,0.0,0,0,season 3,1.0
97,2020-01-12,16:30 (11:30),Premier League,Matchweek 22,Sun,Away,W,6.0,1.0,Aston Villa,2.8,1.1,70.0,David Silva,4-3-3-0,Jonathan Moss,22,11,50.0,0.27,0.55,16.1,1.0,0,0,season 3,5.0
98,2020-01-18,15:00 (10:00),Premier League,Matchweek 23,Sat,Home,D,2.0,2.0,Crystal Palace,2.6,0.4,72.0,David Silva,4-3-3-0,Graham Scott,25,6,24.0,0.08,0.33,16.7,1.0,0,0,season 3,0.0
99,2020-01-21,19:30 (14:30),Premier League,Matchweek 24,Tue,Away,W,1.0,0.0,Sheffield Utd,2.8,0.8,66.0,Fernandinho,3-4-3-0,Lee Mason,17,4,23.5,0.06,0.25,17.3,1.0,0,1,season 3,1.0
100,2020-02-02,16:30 (11:30),Premier League,Matchweek 25,Sun,Away,L,0.0,2.0,Tottenham,2.4,0.3,67.0,Fernandinho,4-3-3-0,Mike Dean,18,4,22.2,0.0,0.0,15.2,0.0,0,1,season 3,-2.0
101,2020-02-19,19:30 (14:30),Premier League,Matchweek 26,Wed,Home,W,2.0,0.0,West Ham,2.1,0.1,77.0,David Silva,4-3-3-0,Kevin Friend,20,7,35.0,0.1,0.29,15.0,0.0,0,0,season 3,2.0
102,2020-02-22,17:30 (12:30),Premier League,Matchweek 27,Sat,Away,W,1.0,0.0,Leicester City,2.4,0.8,67.0,Fernandinho,4-3-3-0,Paul Tierney,17,6,35.3,0.06,0.17,21.1,2.0,0,1,season 3,1.0
