,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Victory,Opponent,Formation
122,Home,W,5.0,0.0,Burnley,1.7,0.5,68.0,4-2-3-1,19,6,31.6,0.26,0.83,16.4,0.0,0,0,1,0.8999833054397195,0.6666666666666667
123,Home,W,2.0,0.0,Fulham,2.9,0.3,69.0,4-2-3-1,14,4,28.6,0.07,0.25,15.9,0.0,1,1,1,0.995767950597155,0.6666666666666667
124,Away,D,0.0,0.0,Manchester Utd,1.3,0.6,54.0,4-2-3-1,9,2,22.2,0.0,0.0,18.3,1.0,0,0,0,0.5454644989979508,0.6666666666666667
125,Home,D,1.0,1.0,West Brom,2.2,0.4,77.0,4-2-3-1,26,7,26.9,0.04,0.14,17.1,2.0,0,0,0,0.7506974393114348,0.6666666666666667
126,Away,W,1.0,0.0,Southampton,0.9,0.7,52.0,4-2-3-1,11,5,45.5,0.09,0.2,20.1,0.0,0,0,1,0.7272744266581868,0.6666666666666667
127,Home,W,2.0,0.0,Newcastle Utd,3.0,0.3,74.0,3-4-3-0,11,6,54.5,0.18,0.33,12.3,0.0,0,0,1,0.7272744266581868,0.9888409710170432
128,Away,W,3.0,1.0,Chelsea,2.7,0.8,46.0,4-3-3-0,18,6,33.3,0.17,0.5,15.1,1.0,0,0,1,0.7000079843549167,0.7916666666666666
129,Home,W,1.0,0.0,Brighton,2.0,0.2,65.0,4-3-3-0,15,6,40.0,0.07,0.17,16.9,0.0,0,1,1,0.9090843543184226,0.7916666666666666
130,Home,W,4.0,0.0,Crystal Palace,0.7,0.1,71.0,4-3-3-0,13,6,46.2,0.31,0.67,19.1,2.0,0,0,1,0.5454644989979508,0.7916666666666666
131,Home,W,2.0,0.0,Aston Villa,3.4,0.6,69.0,4-3-3-0,27,8,29.6,0.04,0.13,15.8,0.0,1,1,1,0.8569142953384622,0.7916666666666666
132,Away,W,5.0,0.0,West Brom,1.8,0.5,77.0,4-3-3-0,18,7,38.9,0.28,0.71,17.4,0.0,0,0,1,0.7506974393114348,0.7916666666666666
133,Home,W,1.0,0.0,Sheffield Utd,1.5,0.2,75.0,4-3-3-0,10,5,50.0,0.1,0.2,17.2,0.0,0,0,1,0.9888409710170432,0.7916666666666666
134,Away,W,2.0,0.0,Burnley,2.0,0.1,74.0,4-3-3-0,13,6,46.2,0.15,0.33,15.5,0.0,0,0,1,0.8999833054397195,0.7916666666666666
135,Away,W,4.0,1.0,Liverpool,3.5,1.2,44.0,4-3-3-0,7,5,71.4,0.57,0.8,13.4,0.0,0,1,1,0.3636545713377149,0.7916666666666666
136,Home,W,3.0,0.0,Tottenham,2.2,0.3,60.0,4-3-3-0,14,5,35.7,0.14,0.4,16.3,0.0,1,1,1,0.500032663270114,0.7916666666666666
137,Away,W,3.0,1.0,Everton,1.0,1.0,71.0,4-3-3-0,16,7,43.8,0.19,0.43,17.9,0.0,0,0,1,0.8999833054397195,0.7916666666666666
