,Confirmed,Deaths,Recovered,Active,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Serbia,24141,543,0,23598,2.25,0,inf,21253,2888,13.59,Europe
Seychelles,114,0,39,75,0,34.21,0,108,6,5.56,Africa
Sierra Leone,1783,66,1317,400,3.7,73.86,5.01,1711,72,4.21,Africa
Singapore,50838,27,45692,5119,0.05,89.88,0.06,48035,2803,5.84,Western Pacific
Slovakia,2181,28,1616,537,1.28,74.09,1.73,1980,201,10.15,Europe
Slovenia,2087,116,1733,238,5.56,83.04,6.69,1953,134,6.86,Europe
Somalia,3196,93,1543,1560,2.91,48.28,6.03,3130,66,2.11,Eastern Mediterranean
South Africa,452529,7067,274925,170537,1.56,60.75,2.57,373628,78901,21.12,Africa
South Korea,14203,300,13007,896,2.11,91.58,2.31,13816,387,2.8,Western Pacific
South Sudan,2305,46,1175,1084,2,50.98,3.91,2211,94,4.25,Africa
Spain,272421,28432,150376,93613,10.44,55.2,18.91,264836,7585,2.86,Europe
Sri Lanka,2805,11,2121,673,0.39,75.61,0.52,2730,75,2.75,South-East Asia
Sudan,11424,720,5939,4765,6.3,51.99,12.12,10992,432,3.93,Eastern Mediterranean
Suriname,1483,24,925,534,1.62,62.37,2.59,1079,404,37.44,Americas
Sweden,79395,5700,0,73695,7.18,0,inf,78048,1347,1.73,Europe
Switzerland,34477,1978,30900,1599,5.74,89.62,6.4,33634,843,2.51,Europe
Syria,674,40,0,634,5.93,0,inf,522,152,29.12,Eastern Mediterranean
Taiwan*,462,7,440,15,1.52,95.24,1.59,451,11,2.44,Western Pacific
Tajikistan,7235,60,6028,1147,0.83,83.32,1,6921,314,4.54,Europe
Tanzania,509,21,183,305,4.13,35.95,11.48,509,0,0,Africa
Thailand,3297,58,3111,128,1.76,94.36,1.86,3250,47,1.45,South-East Asia
Timor-Leste,24,0,0,24,0,0,0,24,0,0,South-East Asia
Togo,874,18,607,249,2.06,69.45,2.97,783,91,11.62,Africa
Trinidad and Tobago,148,8,128,12,5.41,86.49,6.25,137,11,8.03,Americas
Tunisia,1455,50,1157,248,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean
Turkey,227019,5630,210469,10920,2.48,92.71,2.67,220572,6447,2.92,Europe
US,4290259,148011,1325804,2816444,3.45,30.9,11.16,3834677,455582,11.88,Americas
Uganda,1128,2,986,140,0.18,87.41,0.2,1069,59,5.52,Africa
Ukraine,67096,1636,37202,28258,2.44,55.45,4.4,60767,6329,10.42,Europe
United Arab Emirates,59177,345,52510,6322,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,15.19,0.48,3190.26,296944,4764,1.6,Europe
Uruguay,1202,35,951,216,2.91,79.12,3.68,1064,138,12.97,Americas
Uzbekistan,21209,121,11674,9414,0.57,55.04,1.04,17149,4060,23.67,Europe
Venezuela,15988,146,9959,5883,0.91,62.29,1.47,12334,3654,29.63,Americas
Vietnam,431,0,365,66,0,84.69,0,384,47,12.24,Western Pacific
West Bank and Gaza,10621,78,3752,6791,0.73,35.33,2.08,8916,1705,19.12,Eastern Mediterranean
Western Sahara,10,1,8,1,10,80,12.5,10,0,0,Africa
Yemen,1691,483,833,375,28.56,49.26,57.98,1619,72,4.45,Eastern Mediterranean
Zambia,4552,140,2815,1597,3.08,61.84,4.97,3326,1226,36.86,Africa
Zimbabwe,2704,36,542,2126,1.33,20.04,6.64,1713,991,57.85,Africa
